account_id,vpa,state,bank,role,is_mule
db6e078e-7f2,aji0y6dp@ybl,Tamil Nadu,SBI,victim,0
1175d2fb-cc9,ivuzzpqk@ybl,Tamil Nadu,BOB,victim,0
d6a9a633-5ca,zmf8mdd4@paytm,Tamil Nadu,BOB,victim,0
da315726-456,0t9nt3w5@okaxis,Tamil Nadu,PNB,victim,0
f7982aa6-df8,bikcidkw@upi,Tamil Nadu,HDFC,victim,0
40c797bc-53e,myzycwti@axl,Tamil Nadu,Axis,victim,0
8a87cb9e-052,9xuy41ib@upi,Rajasthan,Axis,l1_mule,1
cfb89590-9fa,c6uzhr5x@oksbi,Rajasthan,ICICI,l1_mule,1
5a5897dd-aca,iujv6oh9@icici,Uttarakhand,Axis,l1_mule,1
6890c077-652,14ffyvnv@axl,Uttarakhand,Kotak,l1_mule,1
265d56de-027,84azytjx@ibl,Rajasthan,ICICI,l1_mule,1
4e1490f5-c9d,fazz81sd@paytm,Rajasthan,BOB,l1_mule,1
f0016135-2e5,f1t2tala@upi,Uttarakhand,BOB,l1_mule,1
33371112-6be,iiuc039t@oksbi,Rajasthan,HDFC,l1_mule,1
c75f720c-459,8fsv871y@paytm,Haryana,Axis,l2_mule,1
c6d317fa-e88,pseimvih@ibl,Delhi,PNB,l2_mule,1
3c438fde-668,i64ciyhe@axl,Uttarakhand,HDFC,l2_mule,1
a50ba087-5e9,3gdppq0y@ibl,Haryana,SBI,l2_mule,1
dd73d947-4f8,02dgtfgq@ibl,Haryana,Axis,l2_mule,1
c672a0f6-187,b94874fr@okaxis,Uttarakhand,BOB,l2_mule,1
ad5a9dd1-44e,6fao72kz@icici,Haryana,PNB,l2_mule,1
1124eace-ee0,fk8ut0cv@icici,Haryana,BOB,l2_mule,1
a0f1b798-634,cs4cc5o7@okaxis,Rajasthan,Kotak,l2_mule,1
dbf67a95-a45,wpvs7hzi@apl,Uttarakhand,HDFC,l2_mule,1
afd46ca6-b46,q77awudt@icici,Delhi,ICICI,l2_mule,1
e6517933-f12,755nf4zw@icici,Rajasthan,SBI,l2_mule,1
b8440b01-2ef,7d5j60fk@okaxis,Delhi,PNB,l2_mule,1
080daaa8-b85,hwjr64dp@paytm,Delhi,SBI,l2_mule,1
22f8660b-d64,me9fpzue@oksbi,Uttarakhand,Kotak,l2_mule,1
2337c244-4c7,4ufel624@upi,Uttarakhand,HDFC,l2_mule,1
